id,season_id,rank_id,kill_death_ratio,average_damage,match_counts,is_party,create_date
218,10,16,1.1,531.1,676,0,2021-10-31 15:34:00.447
219,11,16,1.02,414.46,614000,0,2021-10-31 15:34:52.453
220,10,8,0.25,155.43,594,1,2021-11-01 13:24:31.557
221,10,7,1.18,513,69300,0,2021-11-01 23:29:00.727
222,10,16,1.18,513,69300,0,2021-11-01 23:29:29.553
223,10,0,1.18,513,69300,0,2021-11-01 23:29:42.067
224,11,22,0.44,200,-1,1,2021-11-02 03:29:46.250
225,10,16,2.01,580,97,1,2021-11-03 13:09:59.950
226,10,13,1.27,1500,1700,0,2021-11-04 06:48:48.820
227,10,16,1.6,400,2000,0,2021-11-05 15:39:26.243
228,0,21,2,1299,84600,0,2021-11-06 06:48:05.920
229,11,14,1.02,500,-1,0,2021-11-06 23:18:35.547
230,10,3,0.02,12,100,0,2021-11-07 11:25:13.740
231,9,12,1.1,400,250,0,2021-11-07 12:19:09.340
232,9,12,1.67,502,78,0,2021-11-07 12:20:32.330
233,11,22,1.33,382.54,-1,0,2021-11-09 08:14:19.037
234,10,20,2.1,1468,600,0,2021-11-09 12:29:33.213
235,7,20,1.5,500,500,0,2021-11-09 13:44:40.247
236,11,21,7.52,4056,400,0,2021-11-09 15:52:04.263
237,8,20,1.18,457.83,1210,1,2021-11-09 23:03:51.630
238,9,20,1.22,444.05,585,1,2021-11-09 23:04:53.900
239,9,20,1.22,444.05,228,1,2021-11-09 23:05:09.093
240,9,20,1.22,200,585,0,2021-11-09 23:05:37.293
241,10,21,2.5,800,670,1,2021-11-09 23:09:50.700
242,9,22,6,1200,-1,1,2021-11-09 23:10:41.897
243,11,20,1.95,555,200000,0,2021-11-09 23:34:11.387
244,9,20,1.22,444.05,585,1,2021-11-09 23:48:12.553
245,6,16,1.2,398.5,200,1,2021-11-09 23:50:05.687
246,6,16,0.5,398.5,200,1,2021-11-09 23:50:27.523
247,10,21,0.2,158.58,1,0,2021-11-09 23:51:01.313
248,10,21,0.2,158.58,1568,0,2021-11-09 23:51:16.237
249,2,20,3,870,6500,1,2021-11-10 02:02:14.003
250,1,17,1.3,520,12000,1,2021-11-10 02:04:16.060
251,10,14,0.77,364.99,11900,1,2021-11-11 15:07:36.253
252,11,20,4.5,900,-1,0,2021-11-11 19:13:43.700
253,11,20,4.5,900,-1,0,2021-11-11 19:14:18.130
254,1,21,9,5000,100000,0,2021-11-11 22:30:13.780
255,1,21,9,5000,100000,0,2021-11-11 22:30:13.870
256,11,13,1,600,-1,0,2021-11-11 22:32:21.830
257,10,20,3,1000,1000,0,2021-11-12 00:04:51.943
258,10,16,51,3420,6321,0,2021-11-12 01:05:09.103
259,2,21,89,4690,44320,0,2021-11-12 01:06:30.680
260,10,21,1.8,700,1400,1,2021-11-12 03:18:31.280
261,10,21,1.7,600,1400,1,2021-11-12 03:19:20.893
262,10,21,1.9,600,1900,1,2021-11-12 03:30:12.353
263,10,21,1.23,600,1900,1,2021-11-12 03:30:41.810
264,11,21,2,745,15000,0,2021-11-12 03:37:37.410
265,10,4,3,1000,254,0,2021-11-12 03:43:01.050
266,10,22,4,1487,1478,0,2021-11-12 03:44:01.963
267,11,8,0.7,230,10000,0,2021-11-12 03:44:56.170
268,10,20,7,1250,1000,0,2021-11-12 03:56:26.257
269,9,16,1,330,5000,0,2021-11-12 03:56:36.493
270,10,12,0.8,600,150,0,2021-11-12 03:58:34.683
271,10,21,8,2500,15000,1,2021-11-12 03:58:57.997
272,11,21,1.8,700,22000,1,2021-11-12 03:59:44.960
273,1,22,8,2500,15000,1,2021-11-12 03:59:48.037
274,11,20,1.8,700,22000,1,2021-11-12 04:00:09.807
275,9,16,1.2,700,500,0,2021-11-12 04:06:22.857
276,9,22,4.3,900,200,0,2021-11-12 04:06:33.143
277,12,20,4.5,900,500,1,2021-11-12 04:07:33.987
278,12,20,4.5,900,500,1,2021-11-12 04:07:52.833
279,6,21,1.8,700,120,1,2021-11-12 04:11:26.463
280,6,21,1.8,700,1200,1,2021-11-12 04:11:47.180
281,11,10,0.7,300,10000,0,2021-11-12 04:20:13.460
282,11,21,3.47,849.45,14857,1,2021-11-12 04:21:32.353
283,11,0,3.47,849.45,14857,1,2021-11-12 04:21:56.530
284,10,20,1.26,800,-1,1,2021-11-12 04:22:08.383
285,11,0,20,849.45,14857,1,2021-11-12 04:22:18.463
286,11,20,20,849.45,14857,1,2021-11-12 04:22:35.247
287,11,21,3.47,849.45,14857,1,2021-11-12 04:23:59.467
288,11,21,3.47,849.45,14857,1,2021-11-12 04:23:59.930
289,11,22,3.47,849.45,14857,1,2021-11-12 04:24:23.400
290,12,21,3.47,849.45,14857,1,2021-11-12 04:24:43.593
291,11,0,3.47,867.45,-1,1,2021-11-12 04:25:24.517
292,11,0,28.57,867.45,-1,1,2021-11-12 04:25:44.733
