id,kill_death_ratio,average_damage,match_counts,is_party,rank_id
492,3,360,-1,0,8
493,0.48,196,3830,0,10
494,0.43,20818,1100,0,8
495,0.48,196,3830,0,10
496,1.99,1200,3000,0,18
497,1.2,386.41,3740,0,16
498,1.32,1800,-1,0,16
499,1,500,2500,1,16
500,10,5000,1548634,0,21
501,0,850,1000,0,12
502,0.46,226,417,0,9
503,0.74,312.08,2500,0,12
504,0.48,196,3830,0,10
505,1.27,653,357,0,22
506,1.95,1000,1000,0,18
507,0.95,441.9,1400,0,15
508,1.43,408.62,466,0,16
509,0.86,250,1000,0,12
510,1.79,500,8000,1,20
511,0.7,260,-1,1,12
512,1.95,700,-1,0,16
513,0.15,100,1,0,22
514,4.75,1000,-1,0,22
515,0.8,200,1200,0,22
516,0.88,253,1700,0,16
517,2.06,640,-1,0,16
518,2.7,1000,-1,0,22
519,1.79,600,4000,0,18
520,0.7,700,-1,0,12
521,2.7,1000,600,0,22
522,0.85,200.5,1200,0,12
523,0.88,253,1700,0,22
524,0.67,450,450,1,16
525,1.42,454.39,9371,1,20
526,1.61,367,2000,0,12
527,2.5,730,4722,0,20
528,54.5,86000,3,0,21
529,1.5,437,1780,0,10
530,1.5,680,4000,0,15
531,1.4,400,4000,0,20
532,40.2,4237,1375531,0,21
533,1.4,400,4000,1,20
534,99,1,1,1,0
535,99.99,99999.99,1,0,21
536,1.52,580,4100,0,16
537,1.2,1000,-1,0,16
538,1.5,500,800,0,16
539,0.6,268,1234,0,11
540,1.23,447,3000,0,14
541,1.24,473,3700,0,14
542,1.14,380.07,7640,0,16
543,2,450,1450,0,16
544,2.34,488.91,220,0,16
545,2.34,488.91,220,1,16
546,0.75,332.97,2618,0,12
547,1.52,505.68,6024,0,16
548,2.32,1000,100,1,12
549,2.25,645.81,919,0,16
550,1.5,300,1000,0,16
551,1.3,500,5000,0,17
552,1.5,500,1300,0,14
553,1.03,431.5,9000,0,17
554,0.86,374.74,1556,0,12
555,2.5,700,8000,0,17
556,0.77,514.63,354,1,14
557,1.37,427,1560,0,15
558,1.2,600,11000,0,16
559,2.45,650,5000,0,17
560,0.61,451.37,433,1,16
561,1.13,382,1300,0,12
562,0.45,188.98,843,0,5
563,1.1,331,1440,0,22
564,0.59,322.52,455,0,12
565,1.37,427.3,1560,0,15
566,1.67,1300,-1,0,14
567,1.37,427,1560,0,15
568,0.39,210.92,557,0,10
569,0.94,338.05,1965,0,13
570,26,1365,5,0,8
571,1.48,700,5000,0,16
572,1.06,373.61,1306,0,16
573,0.89,319.59,4289,0,16
574,7,1223,1518,0,20
575,1.8,788,300,1,21
576,1.16,385.68,141,0,16
577,2.59,700,8000,0,17
578,1.25,514.38,34,1,16
579,0.89,311.61,4800,0,16
580,4.85,840.53,81,0,12
581,1.33,687,-1,1,16
582,4.85,840.53,81,0,12
583,99.99,99999.99,1,0,21
584,1.13,500,120000,0,16
585,1.2,600,2000,0,16
586,1.1,600,2000,0,16
587,1.71,538.78,737,0,15
588,1.13,458,-1,0,16
589,26,1365,5,0,8
590,2.21,850,500,0,20
591,0,0,0,0,0
592,2.1,755,319,0,16
593,1.2,547,130,0,10
594,1.18,547,1300,0,9
595,1.1,411,2000,0,16
596,1.9,602,80,0,16
597,2,800,100,1,16
598,10,2000,10000,1,21
599,2.27,676.87,14422,0,17
600,1.05,472,205,0,13
601,1,450,300,0,12
602,2.31,700,-1,0,18
603,1.89,700,-1,0,17
604,1.95,700,-1,0,17
605,2.05,700,-1,0,17
606,2.05,700,-1,0,18
607,2.35,700,-1,0,18
608,5.5,1100,1700,1,20
609,1.03,340,-1,0,16
610,0.4,200,140,0,8
611,5.37,1500,-1,0,22
612,1,46000,1,0,0
613,99,36000,1,0,22
614,99,99999,1,0,21
615,1.58,407.05,5750,0,16
616,0.9,340,-1,0,12
617,1.5,460,-1,0,12
618,0.6,200,-1,0,7
619,0.8,380,-1,0,12
620,1.9,600,-1,0,16
621,11,1400,-1,0,12
622,11.2,1403,110740,1,15
623,2.3,600,600,1,14
624,30.1,2409,1109083,1,21
625,2.3,600,600,0,14
626,2.68,659,2570,0,21
627,0.43,232,3225,0,12
628,0.61,314.39,3225,0,12
629,4.03,1500,16000,0,0
630,0.75,268.35,979,1,4
631,4.03,1500,16000,0,20
632,4.03,1000,16000,0,18
633,1.19,500,6000,0,13
634,1.25,546.98,676,0,17
635,0.92,300,500,0,12
636,1.22,456,4000,0,17
637,1.13,373,13200,0,16
638,1.13,373,13200,1,16
639,1.22,456,4000,0,17
640,0.84,292.29,3640,0,12
641,1.5,1000,-1,0,14
642,0.82,321,452,0,12
643,1.65,519,875,1,16
644,0.84,321,-1,0,12
645,0.36,200,-1,1,9
646,2.5,800,1000,0,16
647,1.5,335,3720,0,22
648,1.13,379,13200,1,16
649,2,600,500,0,20
650,1,298,408,0,12
651,2,600,800,0,20
652,2,600,500,0,16
653,2,700,-1,0,15
654,15,2600,800000,0,21
655,0.8,260,1500,0,12
656,0.22,246,10,0,0
657,1.77,743,180,0,13
658,1.8,560,120,0,16
659,3,1000,150,0,22
660,1,900,-1,0,22
661,4,1800,1500,0,22
662,1.41,388,24281,0,13
663,3,1900,2000,1,21
664,0.92,450,-1,0,14
665,1.9,700,900,1,21
666,19.4,2700,27,0,4
667,2.4,980,160,1,19
668,0.14,160,2400,0,21
669,0.89,332,1200,0,13
670,1.5,680,1000,1,16
671,1.71,506.67,1474,0,16
672,0.97,377.84,5860,1,16
673,6.65,1100,1005,1,21
674,9.7,1800,17,0,15
675,1.1,346,3689,0,12
676,2.5,900,1500,0,20
677,2.6,800,2000,1,21
678,1,428,4528658,0,9
679,1.54,377.76,-1,0,16
680,1.13,358,2940,0,16
681,2.95,738,600,1,22
682,2.4,800,2000,1,20
683,0.71,240,500,0,9
684,1.06,752,38554,0,16
685,1.5,600,500,0,12
686,2,600,500,0,12
687,0.32,648,-1,0,5
688,1,350,-1,1,16
689,2.3,560,869,0,18
690,2.8,1500,2000,0,18
691,1.77,700,-1,0,16
692,1.64,1336,176,0,20
693,2.6,624,2230,0,16
694,2.16,600,2000,0,20
695,1.65,1000,4000,0,20
696,25.6,2356,12243,0,21
697,1.41,500.19,2618,0,17
698,2.42,750,1200,0,21
699,2.7,1280,1200,0,20
700,1.36,491.51,901,0,18
701,2.16,700,200,1,17
702,1.5,500,300,1,21
703,2.8,900,150,0,16
704,2.3,710,3710,0,21
705,1.5,400,500,1,21
706,0.79,320,6900,0,14
707,1.78,855,8000,0,20
708,1.78,855,8000,0,21
709,1.66,501,1200,0,14
710,3,900,3000,0,20
711,2.3,600,2000,1,20
712,0.17,500,82,0,5
713,10.9,3000,125,0,16
714,10.9,3000,125,0,21
715,0.9,380,5000,0,9
716,0.9,380,5000,0,22
717,1.5,800,1000,1,20
718,1.46,500,-1,0,20
719,1.73,1000,3000,1,20
720,0.86,275.95,3300,0,14
721,1,504,960,0,17
722,3.4,960,900,0,22
723,3.7,950,80000,0,21
724,1.23,512.15,137,0,8
725,34.2,4529,60000,0,0
726,2,1000,1000,0,20
727,39.7,5209.23,110000,0,22
728,1.46,546.48,779,0,17
729,0.98,327,1140,0,12
730,2.23,686,91,0,16
731,0.98,350,-1,0,16
732,0.3,175.09,1600,1,8
733,0.69,300,-1,0,14
734,1,400,3000,0,16
735,1.3,300,500,0,15
736,1.3,300,300,0,15
737,0.5,280,5000,0,12
738,2.02,661,356,1,20
739,1.4,750,546,0,20
740,1.78,970.6,549,0,20
741,1.04,285,2600,0,10
742,27,134,84,0,8
743,1.62,560,1200,0,16
744,2,480,400,1,20
745,1.2,480,6000,0,16
746,0.68,256,4000,0,16
747,0.6,261,400,0,10
748,0.4,212,379,0,10
749,1.5,710,677,0,16
750,1.7,600,1200,0,16
751,1.11,385,12000,0,16
752,1.11,500,-1,0,16
753,3.89,629.7,21425,0,21
754,2,500,600,0,16
755,1.5,680,677,0,16
756,1.5,550,6000,0,16
757,1.5,710,677,0,16
758,0.5,12,56999,0,22
759,15,3085,100000,1,21
760,15,4085,100050,1,21
761,3,1100,1000,1,20
762,1.3,370,160,0,22
763,2.03,590,-1,1,20
764,1.1,400,-1,0,8
765,2.1,600,1000,0,16
766,2.75,600,-1,1,20
767,2.3,618,4210,0,20
768,1.2,350,300,1,17
769,0.84,328.16,10064,1,12
770,1.3,1200,100000,0,20
771,0.99,386.25,1497,1,12
772,0.86,366.56,1341,1,12
773,0.84,328.16,10064,1,12
774,0.84,328.16,10064,1,12
775,1.68,603,622,0,16
776,0.63,282,1200,1,8
777,0.92,700,-1,0,13
